mes,total_viajes,ingresos_totales,ticket_promedio,duracion_promedio_min
2013-01-01,983487,13344380.819999121,13.568436410445681,11.704121270792937
2013-02-01,1025193,14268600.38999814,13.91796509535283,12.102524356326715
2013-03-01,1229826,17797554.709997185,14.471603877296442,12.549183441250728
2013-04-01,1139787,17687764.269998319,15.518482198867124,12.939544271758782
2013-05-01,1189699,17898249.089997578,15.044350789569449,13.760851802847677
2013-06-01,1244974,18612260.989997819,14.94991942803639,13.890122115991813
2013-07-01,1193003,17626990.609997928,14.775311218831753,13.663723761861677
2013-08-01,1266407,18231585.119997885,14.396307916807274,13.456159505268452
2013-09-01,1226612,18013961.159998015,14.685948906418682,13.875446632401388
2013-10-01,1425861,21164992.679998294,14.843657747844945,13.859086151484508
2013-11-01,1510425,21174696.229998648,14.019031881755129,13.099746756476337
2013-12-01,1732640,23220166.489998218,13.401610542293835,12.796877794554671
2014-01-01,1679719,21981537.77999844,13.086437541041127,12.700080998149604
2014-02-01,1771126,23634166.879998416,13.344147666512779,12.799782351581545
2014-03-01,2224048,30527540.279998232,13.726115749300337,13.45496785899787
2014-04-01,2261826,32403082.879998907,14.326072332708163,13.649377817158832
2014-05-01,2642371,38967579.169995949,14.747202103716646,14.49610951501262
2014-06-01,2698387,40346388.9099983,14.952039462834644,14.671315256240051
2014-07-01,2609839,37709630.3799971,14.449025545253971,14.426167179471809
2014-08-01,2699292,38887629.759998344,14.406603568639413,14.2804833430473
2014-09-01,2604027,39186905.979999021,15.048578981707955,14.398591506113211
2014-10-01,2808630,42494768.55999545,15.130070019902989,14.394124043390113
2014-11-01,2302988,33395277.299998622,14.50084729056335,14.034735876785497
2014-12-01,2216481,30188882.409997568,13.620185514786726,12.979779334356023
2015-01-01,2062086,28579073.889998,13.859302613955043,12.730854310723071
2015-02-01,2100272,29641896.589997873,14.113360836120302,13.190048857112087
2015-03-01,2326856,34465731.659996696,14.812146372615983,13.471432305579242
2015-04-01,2183453,33383517.459998142,15.289322673764968,14.05716733725531
2015-05-01,2379035,36823769.119995877,15.478447824432969,14.786631076735461
2015-06-01,2256779,35438504.329997517,15.703134569224524,15.220934179287923
2015-07-01,2077032,31750837.01999766,15.286638347411223,14.963003814497869
2015-08-01,2078850,31681069.839998048,15.239709377780917,14.470371157861456
2015-09-01,2015836,31900123.459996916,15.82476127026197,15.066918378770408
2015-10-01,2120179,33643392.029996239,15.868184728742211,15.103713284616648
2015-11-01,1849866,28717755.989997033,15.524235804106848,14.549203220972101
2015-12-01,1849253,26133526.629996724,14.131936857747361,13.24663144624021
2016-01-01,1999307,30686838.899999175,15.348737787643429,12.589066603843703
2016-02-01,2050418,31859728.939998928,15.538162920926432,12.93408487921355
2016-03-01,2271779,36353947.67999918,16.002413826344874,13.537640551822854
2016-04-01,2282472,37627749.039998792,16.485524922101934,14.098330007221927
2016-05-01,2296456,39288513.279999278,17.108323991402383,14.916215757219963
2016-06-01,2296327,39687085.629999205,17.282854589089503,15.423352307277202
2016-07-01,2231320,37497406.19999975,16.805032984959606,14.81013257652134
2016-08-01,2242461,37550817.819999859,16.745360485645122,14.51384534257326
2016-09-01,2177272,38139855.379998811,17.517267194911938,15.237392006601713
2016-10-01,2366063,41744121.639998764,17.642861428457518,15.2550365081968
2016-11-01,2080369,35914740.089998759,17.263639330330431,14.959496270689931
2016-12-01,2020577,30654047.989998661,15.170937801429913,13.435058365803604
2017-01-01,1723035,27084587.329998754,15.719116170013951,12.749952176991696
2017-02-01,1671473,26380469.339998577,15.782767259776239,12.991952170045119
2017-03-01,2070080,33468034.959998216,16.167507999690862,13.659375116243824
2017-04-01,1924750,32343570.239999346,16.804037012599053,14.32739376362839
2017-05-01,2038644,35187477.0699986,17.260236250174202,15.268846362570832
2017-06-01,2058010,36088560.439998969,17.535658446751778,15.909374010966808
2017-07-01,1817907,29983540.439999178,16.493440225490371,14.387632249956436
2017-08-01,1843759,30875468.759999018,16.745935211706261,14.420257523237673
2017-09-01,1726247,29909197.859999254,17.326140384313451,14.768482738445346
2017-10-01,1890372,32912357.669999309,17.410519024826765,14.970946821656865
2017-11-01,1673135,28210102.809999552,16.86062559805417,14.703919813327401
2017-12-01,1544352,22952992.669999473,14.862539544093718,12.852987210834421
2018-01-01,1452640,22879011.86999977,15.749953099184939,13.004601150408117
2018-02-01,1414621,22853369.889999732,16.1551185017047,13.906738121866407
2018-03-01,1733366,28420751.079999592,16.396278154757898,13.789862526895829
2018-04-01,1650015,28579903.859999806,17.320996390942245,14.61747186097867
2018-05-01,1698811,30665346.619998705,18.051064314982771,15.925111215764911
2018-06-01,1739752,31647242.519998584,18.190663106006021,16.127518931566119
2018-07-01,1447356,25610202.599999558,17.694473647119619,15.774444006067535
2018-08-01,1494000,26811624.319999613,17.94620101740292,15.44006271251598
2018-09-01,1391471,25786009.259999316,18.531474432453255,16.185572075477854
2018-10-01,1559408,29380593.929999057,18.840863924001781,16.097725905584756
2018-11-01,1357747,25003514.80999938,18.415444710980726,15.484607293368869
2018-12-01,1236885,20113904.509999491,16.261741802996852,13.780100820704453
2019-01-01,1039356,18060741.029999796,17.376857429023477,13.617381902732724
2019-02-01,1125098,19630870.219999593,17.448142490698554,14.319014643503612
2019-03-01,1300547,23735498.799999628,18.25039679457949,14.65666603865227
2019-04-01,1251744,23788091.060000077,19.003958525065496,15.698019928019431
2019-05-01,1314613,25852303.380001482,19.665333737001028,17.117155300996291
2019-06-01,1274730,24921693.970001217,19.550566763157825,17.131076291092956
2019-07-01,1124252,21034158.039999723,18.709469087001558,16.519019595459028
2019-08-01,1137085,21452678.750001635,18.866380921391247,16.393158752509567
2019-09-01,1134045,22674006.480000678,19.993921299419164,17.044838129338
2019-10-01,1231496,24175646.730001595,19.631120791297743,16.993621065317218
2019-11-01,1051923,20077012.670001049,19.0860097839861,16.120080866805246
2019-12-01,1060445,18816309.719999753,17.743786542442493,14.821480718267111
2020-01-01,899463,16441655.980000533,18.279413361083353,14.43637342599046
2020-02-01,942169,17455696.390000068,18.527139387944224,14.647986465452988
2020-03-01,463090,8483434.13999984,18.319190956401673,14.34714317700945
2020-04-01,46011,820856.64999999618,17.840443589576314,15.870192279816854
2020-05-01,60003,1117009.3599999973,18.615891872073043,17.50584523829361
2020-06-01,86083,1643969.1800000002,19.097489399765294,18.125808045576047
2020-07-01,109560,2055498.7000000123,18.761397407813131,17.585382376403075
2020-08-01,120962,2301688.26,19.028192820885856,17.956447044351936
2020-09-01,137801,2829120.1200000104,20.530475976226782,18.509086675134416
2020-10-01,150953,3185463.8599999333,21.102355435135806,18.72738741425589
2020-11-01,122275,2591992.6499999873,21.198058883663869,19.353302314034302
2020-12-01,128578,2638620.2799999816,20.521553298387097,19.808791674771655
2021-01-01,127309,2816078.4200000186,22.1200262353802,19.662168268512872
2021-02-01,133624,3032194.879999978,22.691993055139843,20.313630692607
2021-03-01,179863,4254354.6900000172,23.65330662782231,20.147339498689512
2021-04-01,198357,4932021.5999999922,24.864368789606552,20.601272838821494
2021-05-01,232295,5915849.5300000058,25.466968854258621,20.915088397703379
2021-06-01,279826,7524956.3899998274,26.89155543087503,21.572221904503543
2021-07-01,325242,9344995.8999992646,28.732438922402629,21.120645459559061
2021-08-01,344471,9923800.17999971,28.808811714193489,20.818363641466753
2021-09-01,360207,9887154.3199997731,27.44853464813313,21.352786061501682
2021-10-01,422266,11262380.200000206,26.671292976464642,21.136060601754458
2021-11-01,383391,10074753.879999828,26.278013516227666,20.487101654611891
2021-12-01,371423,9270740.9599997941,24.960061600924067,19.03392265887593
2022-01-01,265405,6618449.7700000089,24.937170626024471,18.860601052944951
2022-02-01,310719,7727741.989999962,24.870516415153265,19.533801133449412
2022-03-01,448183,11725136.870000176,26.161494010259226,20.118977257089611
2022-04-01,454823,12578820.960000519,27.656519041473135,20.620225034543481
2022-05-01,522195,15189810.680000104,29.088387824471742,22.574922001735239
2022-06-01,557565,16457365.320000703,29.516496408490177,22.512437680650027
2022-07-01,501365,14188732.119999915,28.300204681219782,21.536624853540797
2022-08-01,517994,14504981.880000567,28.002219871272935,21.609343107176048
2022-09-01,536449,15492934.44000067,28.880535596114431,22.947980467463104
2022-10-01,537438,15714803.510000395,29.240216564515453,23.423495089081005
2022-11-01,479090,13326831.080001194,27.816967751362526,21.112388554956045
2022-12-01,452480,11490783.429999949,25.395118966584175,19.720299913723224
2023-01-01,369584,9672990.4200002123,26.172643891510106,19.482267688876487
2023-02-01,398158,10235182.270000396,25.706333340030671,19.768726095504196
2023-03-01,523352,14321934.060002152,27.365776876748043,21.033133830942738
2023-04-01,511110,14659180.969999734,28.681068595801261,22.010947352080379
2023-05-01,529179,15808099.200000336,29.872877041605935,23.908532373756145
2023-06-01,557464,16475736.669999273,29.554799359240796,23.52448820875329
2023-07-01,487956,14030575.799999198,28.753772471288151,22.534835733484293
